Oracle top-5 total relevance: 2.2530
ACO best fitness: 2.2530
Selected nodes: [6, 18, 10, 15, 17]
Fitness history:
0: 2.2530
1: 2.2530
2: 2.2530
3: 2.2530
4: 2.2530
5: 2.2530
6: 2.2530
7: 2.2530
8: 2.2530
9: 2.2530
10: 2.2530
11: 2.2530
12: 2.2530
13: 2.2530
14: 2.2530
15: 2.2530
16: 2.2530
17: 2.2530
18: 2.2530
19: 2.2530
20: 2.2530
21: 2.2530
22: 2.2530
23: 2.2530
24: 2.2530
25: 2.2530
26: 2.2530
27: 2.2530
28: 2.2530
29: 2.2530
30: 2.2530
31: 2.2530
32: 2.2530
33: 2.2530
34: 2.2530
35: 2.2530
36: 2.2530
37: 2.2530
38: 2.2530
39: 2.2530
40: 2.2530
41: 2.2530
42: 2.2530
43: 2.2530
44: 2.2530
45: 2.2530
46: 2.2530
47: 2.2530
48: 2.2530
49: 2.2530
50: 2.2530
51: 2.2530
52: 2.2530
53: 2.2530
54: 2.2530
55: 2.2530
56: 2.2530
57: 2.2530
58: 2.2530
59: 2.2530
60: 2.2530
61: 2.2530
62: 2.2530
63: 2.2530
64: 2.2530
65: 2.2530
66: 2.2530
67: 2.2530
68: 2.2530
69: 2.2530
70: 2.2530
71: 2.2530
72: 2.2530
73: 2.2530
74: 2.2530
75: 2.2530
76: 2.2530
77: 2.2530
78: 2.2530
79: 2.2530
